Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info;Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;¸àczna liczba wydruków;Okres przeglàdu;Limit wydruków;Total
2024-08-12 00:00:00.000;TCZP1022;IT0003691;INC20031118;Kalibracja;-;;221.0;IT0003691;TCZP1022;zebra,110xi4,300dpi;14J112700681;b1;przymaszyniefa-109;5184.0;0.0;5184.0;Pó∏roczny;100000.0;63897.0
2024-08-12 00:00:00.000;TCZP3151;IT0021327;INC20030996;Problem sieciowy;-;;769.0;IT0021327;TCZP3151;hellermann300dpi;H4194V200900019;b1;stanowiskoims;17960.0;0.0;17960.0;Pó∏roczny;100000.0;191927.0
2024-08-16 00:00:00.000;TCZP1160;IT0037698;INC20080414;Kalibracja;Brak;;1010.0;IT0037698;TCZP1160;ttbp300i;H422100010;b1;wykrawarki;9422.0;0.0;9422.0;Pó∏roczny;100000.0;41568.0
2024-08-19 00:00:00.000;TCZP4058;IT0024849;INC20118665;Wymiana czesci;-;wymiana zasilacza;887.0;IT0024849;TCZP4058;hellermann,300dpi;H520300006;b4;pakowianie;169.0;0.0;169.0;Pó∏roczny;100000.0;3357.0
2024-08-19 00:00:00.000;TCZP1056;IT0028324;INC20123212;Kalibracja;Brak;;922.0;IT0028324;TCZP1056;citizencl-s631ii;JM632260487;b2;dry box;2438.0;0.0;2438.0;Pó∏roczny;100000.0;57878.0
2024-08-20 00:00:00.000;TCZP1185;IT0027931;INC20130491;Kalibracja;n/d;poluênienie rewindera, kalibracja wydruki testowe, zdj´cie mediów z rewindera i ponowna kalibracja, wypozycjonowanie nadruku;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-08-20 00:00:00.000;TCZP1185;IT0027931;INC20136948;Kalibracja;n/d;zdjecie zu˝ytych mediów z rewindera, kalibracja, wypozycjonowanie naklejki, ustawienie tear-off;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-08-21 00:00:00.000;TCZP1185;IT0027931;INC20142881;Kalibracja;-;;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-08-21 00:00:00.000;TCZP1254;IT0016541;INC20149095;Wymiana paska;N/D;wymiana paska;525.0;IT0016541;TCZP1254;zebra,110xi4300dpi;14J171401530;b2;w2 module assembly 1;6931.0;0.0;6931.0;Pó∏roczny;100000.0;305175.0
2024-08-21 00:00:00.000;TCZP1194;IT0018879;INC20144328;Kalibracja;N/D;przywrócenie ustawieƒ fabrycznych drukarki + kalibracja;;;;;;;;;;;;;
