Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00006;IT0003423;TCZP1064;110xi3 300dpi;91C06430046;b2;laminaty;0;0;0;Kwartalny;100000;2359665
00008;IT0003560;TCZP2068;zebraz4mplus;02C06401509;b2;programator;0;0;0;P—¸roczny;100000;132987
00013;IT0002395;TCZP2007;110xi4 300dpi;14J111400182;b3;stanowisko9;0;0;0;P—¸roczny;100000;217207
00017;IT0002644;TCZP2013;zebra,110xi4,600dpi;14J103600030;b4;drukowanie dokument—w;0;0;0;P—¸roczny;100000;12351
00021;IT0005549;tczp1079;zebra,110xi4,600dpi;14J114300658;b4;dystrybutor;0;0;0;P—¸roczny;100000;65179
00022;IT0002466;(default);110x4;91C07480364;b2;Cisco/Falcon;0;0;0;P—¸roczny;100000;83225
00023;IT0002467;TCZP1152;zebra,110xi4600dpi;14J104600397;b2;stanowisko 1a;10221;0;10221;Kwartalny;100000;908243
00025;IT0002447;TCZP1147;110xi4 600dpi;14J105100109;b4;mmi tl;3035;0;3035;P—¸roczny;100000;132147
00031;IT0002399;TCZP1080;zebra,110xi4,300dpi;14J110500453;b4;mmi realy kit/psu/hydro pakowanie psu;748;0;748;P—¸roczny;100000;132523
00039;IT0002255;TCZP1033;zebra,110xi4300dpi;80J102000251;b2;dzielenie 2;2;0;2;P—¸roczny;100000;272932
00041;IT0002420;TCZP1078;zebra,110xi4600dpi;14J104600393;b2;montaz 2;0;0;0;P—¸roczny;100000;75589
00047;it0009461;TCZQ0007;qln420;XXQVJ152201031;b3;Dystrybucja;0;0;0;P—¸roczny;100000;1668
00065;IT0004167;TCZP1051;zebra,110xi4,300dpi;14J122901322;b4;swmontaz1;53;0;53;Kwartalny;100000;1284776
00068;IT0004133;TCZP1028;110xi4 300 dpi;14J110200110;b2;pakowanie;15350;0;15350;P—¸roczny;100000;1652631
00077;IT0002491;TCZP1092;zebra,110xi4600dpi;14J111000542;b2;zelowanie;5120;0;5120;Kwartalny;100000;160435
00078;IT0002236;TCZP1099;zebra,110xi4300dpi;14J141700387;b2;dzielenie 3;0;0;0;P—¸roczny;100000;320795
00079;IT0002074;TCZP1123;zebra,110xi4300dpi;14J110200298;b2;stanowisko3;0;0;0;Kwartalny;100000;205921
00080;IT0004120;TCZP2035;110xi4 300 dpi;14J110200102;b4;packing hw;208;0;208;P—¸roczny;100000;601164
00081;IT0002252;TCZP3182;zebra,110xi4;80J10070276;b2;zwroty;0;0;0;P—¸roczny;100000;357931
00082;IT0002289;TCZP1024;zebra,110xi4300dpi;14J104300010;b2;kitting 5;1234;0;1234;P—¸roczny;100000;3059863
00089;IT0002244;TCZP2002;110xi4;14J112500200;b2;tl short olsu;0;0;0;P—¸roczny;100000;231461
00104;IT0003692;TCZP3250;zebraz4mplus,300dpi;02C04150134;b1;fa-248 robot spawalniczy;1254;0;1254;P—¸roczny;100000;6237
