Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00342;IT0007983;TCZP0083;hp lj600 m602;CNDVH1T151;b2;sprue final assembly koordynator;0;0;0;P—¸roczny;100000;111
00363;IT0009298;TCZP0092;hp laser jet 600 m602;CNDVGB8183;b3 bis;magazyn wysylek na b3 bis kontakt 7668;0;51;51;P—¸roczny;100000;25089
00456;IT0013376;TCZP0005;laserjet pro m402dn;PHCPB26860;b2;e. naprawy tl;0;0;0;P—¸roczny;100000;0
00496;IT0007596;TCZP0023;m602;CNDVGBFU1F;b2;c.cameras/clean room;0;26;26;P—¸roczny;100000;64
00539;IT0012206;(default);enduro 3e;60C8985;b1;it stock;0;0;0;P—¸roczny;100000;0
00540;IT0013395;(default);bbp31;;b2;utr;0;0;0;P—¸roczny;100000;0
00548;IT0015506;TCZP0141;hp laserjet pro m402dn;PHCPD55905;b4;daikin tl;0;0;0;P—¸roczny;100000;0
00580;IT0000704;TCZP0062;laserjet 500 color m551;CNDTG6D0D1;b2;andrzej doroszkiewicz;;6;6;P—¸roczny;100000;6
00584;IT0000711;TCZP0047;laserjet 2055dn;CNCK812889;b2;olsu stanowisko tl;;24;24;P—¸roczny;100000;24
00588;IT0000719;TCZP0106;laserjet 2055dn;CNCKD72394;b2;cisco;;;0;P—¸roczny;100000;
00589;IT0000720;TCZP0057;laserjet 600 m 602;CNBVDBJ0C5;b2;centrum napraw smt dystrybutor;;11;11;P—¸roczny;100000;11
00592;IT0000724;TCZP0049;laserjet 2055dn;CNCK771900;b2;mrb desc/scrap;;;0;P—¸roczny;100000;
00595;IT0000727;TCZP019;laserjet 2055dn;CNCHC77368;b2;mvs/weryfikacja mterialu/liczenie kte;;;0;P—¸roczny;100000;
00596;IT0000729;TCZP0017;laserjet 2055dn;CNCKJ16628;b2;smt sprue wave quality audit;;;0;P—¸roczny;100000;
00597;IT0000730;TCZP0006;laserjet 600 m 602;CNCVF4G256;b3;zwroty;;;0;P—¸roczny;100000;
00605;IT0000747;TCZP0081;laserjet 2015;CNC0792772;b3;distribution center/banana peeling;;3;3;P—¸roczny;100000;3
