Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-08-12 00:00:00.000;TCZP1022;IT0003691;INC20031118;Kalibracja;-;
2024-08-12 00:00:00.000;TCZP3151;IT0021327;INC20030996;Problem sieciowy;-;
2024-08-16 00:00:00.000;TCZP1160;IT0037698;INC20080414;Kalibracja;Brak;
2024-08-19 00:00:00.000;TCZP4058;IT0024849;INC20118665;Wymiana czesci;-;wymiana zasilacza
2024-08-19 00:00:00.000;TCZP1056;IT0028324;INC20123212;Kalibracja;Brak;
2024-08-20 00:00:00.000;TCZP1185;IT0027931;INC20130491;Kalibracja;n/d;poluênienie rewindera, kalibracja wydruki testowe, zdj´cie mediów z rewindera i ponowna kalibracja, wypozycjonowanie nadruku
2024-08-20 00:00:00.000;TCZP1185;IT0027931;INC20136948;Kalibracja;n/d;zdjecie zu˝ytych mediów z rewindera, kalibracja, wypozycjonowanie naklejki, ustawienie tear-off
2024-08-21 00:00:00.000;TCZP1185;IT0027931;INC20142881;Kalibracja;-;
2024-08-21 00:00:00.000;TCZP1254;IT0016541;INC20149095;Wymiana paska;N/D;wymiana paska
2024-08-21 00:00:00.000;TCZP1194;IT0018879;INC20144328;Kalibracja;N/D;przywrócenie ustawieƒ fabrycznych drukarki + kalibracja
2024-08-23 00:00:00.000;TCZP1233;IT0013790;INC20159565;Wymiana glowicy;174708;
2024-08-23 00:00:00.000;TCZP1100;IT0020364;TASK5720501;Kalibracja;-;
2024-08-23 00:00:00.000;TCZP2006;IT0012405;INC20168450;Kalibracja;-;
2024-08-23 00:00:00.000;TCZP2072;IT0014996;INC20168450;Kalibracja;-;
2024-08-25 00:00:00.000;TCZP1018;IT0036600;INC20158171;Problem sieciowy;-;Reset default ustawieç
2024-08-25 00:00:00.000;TCZP1174;IT0007520;INC20157735;Kalibracja;-;reset default settings, kalibracja, zmiana offcetów 
2024-08-25 00:00:00.000;TCZP2030;IT0013366;INC20156837;Problem sieciowy;-;Uszkodzony kabel sieciowy. Wymiana Kabla sieciowego
2024-08-26 00:00:00.000;TCZP1159;IT0004206;INC20196082;Wymiana walka;174773;Wyrobiony wa∏ek, nie dociska∏ naklejki w jednym miejscu
2024-08-27 00:00:00.000;TCZP2027;IT0020860;INC20202470;Kalibracja;Brak;
2024-08-27 00:00:00.000;TCZP1169;IT0036577;INC20205604;Kalibracja;Brak;
2024-08-26 00:00:00.000;TCZP1185;IT0027931;INC20203466;Kalibracja;-;
2024-08-27 00:00:00.000;TCZP1109;IT0028323;INC20209386;Kalibracja;-;
2024-08-28 00:00:00.000;TCZP1047;IT0000850;INC20218555;Kalibracja;Brak;
2024-08-28 00:00:00.000;TCZP1194;IT0018879;INC20210328;Kalibracja;Brak;
2024-08-28 00:00:00.000;TCZP2027;IT0020860;INC20218922;Kalibracja;-;
2024-08-29 00:00:00.000;TCZP2007;IT0002395;INC19809382;Wymiana glowicy;174881;Wymiana g∏owicy bo poprzednia by∏a przepalona
2024-08-29 00:00:00.000;TCZP2027;IT0020860;INC20229638;Czyszczenie;n/d;G∏owica by∏a brudna, to jà przetar∏em
